video_id|title|channel|url|first_seen_date|upload_date|related_content|keywords|query|description|duration_seconds|video_type
T9Dt20IYOmA|어머니의 병원비를 벌기 위해 버스기사로 조용히 살고 있는 싸움의 신을 건드리면 벌어지는 일ㅎㄷㄷ|About time|https://www.youtube.com/watch?v=T9Dt20IYOmA|2026-06-21|2025-08-22|어머니의 병원비를 벌기 위해 버스기사로 조용히 살고 있|드라마,웨이브,리뷰,어머니의,병원비를,벌기,위해,버스기사로,조용히,살고|웨이브 드라마 리뷰|||
cO3wiUvoI48|여러분이 몰랐던 《군체》 결말 해석 포함 총정리 리뷰💥(스포주의)|매드무비 : MadMovie|https://www.youtube.com/watch?v=cO3wiUvoI48|2026-07-10|2026-05-23|군체|영화,리뷰,해석,결말,한국,여러분이,몰랐던,군체,포함|한국 영화 결말 해석|||
0Z4kL0je8UQ|"[크라임씬 리턴즈] 드디어 열린 304호에 숨겨진 비밀 😨 | 4화클립 | TVING"|TVING|https://www.youtube.com/watch?v=0Z4kL0je8UQ|2026-07-10|2024-02-11|드디어 열린 304호에 숨겨진 비밀 😨|예능,티빙,클립,크라임씬,리턴즈,드디어,열린,304호에,숨겨진,비밀|티빙 예능 클립|||
8ZIP5zIJ8AM|🔥전설의 검객 시리즈🔥드디어 다시 돌아온 전설의 캐릭터와 스토리, 최고의 명작 시리즈 다시 시작합니다 [영화리뷰 결말포함]|영화중독|https://www.youtube.com/watch?v=8ZIP5zIJ8AM|2026-07-19|2026-03-04|🔥전설의 검객 시리즈🔥드디어 다시 돌아온 전설의 캐릭터|영화,리뷰,결말,급상승,전설의,검객,시리즈,드디어,다시,돌아온|영화 리뷰 급상승|||
idA7mWsh8Us|트리거가 된 탄탄한 스토리와 충격적 반전, 섬세한 연출로 탄생한 최고의 수작|달콤 리뷰|https://www.youtube.com/watch?v=idA7mWsh8Us|2026-07-21|2025-08-24|트리거가 된 탄탄한 스토리와 충격적 반전, 섬세한 연출|드라마,리뷰,반전,트리거가,탄탄한,스토리와,충격적,섬세한,연출로,탄생한|드라마 리뷰|||
rZr6F_1hkQc|유나의 한마디 말실수, 민준이 결정적 증거를 잡았다 #붉은진주예상 #붉은진주 #드라마 #드라마추천 #드라마리뷰 #막장드라마|드라마짠|https://www.youtube.com/watch?v=rZr6F_1hkQc|2026-07-31|2026-07-30|유나의 한마디 말실수, 민준이 결정적 증거를 잡았다 #붉은진주예상 #붉은|드라마,리뷰,해석,유나의,한마디,말실수,민준이,결정적,증거를,잡았다,붉은진주예상,붉은진주,드라마추천,드라마리뷰|드라마 리뷰|본 영상은 공식 방송 영상이 아닌 창작 콘텐츠입니다. 시청자의 재미와 상상력을 위해 재해석한 예상스토리이며, 실제 방송 내용과 ...|46.0|쇼츠/숏폼
4Rh79-I0m-M|[ 결혼의 완성 ] 범인은 드러났지만 진실은 따로 있었다|드라마 리뷰탐방|https://www.youtube.com/watch?v=4Rh79-I0m-M|2026-07-31|2026-07-30|결혼의 완성|드라마,리뷰,스릴러,범죄,결혼의,완성,범인은,드러났지만,진실은,따로,있었다,리뷰탐방,shorts,김경애의,충격적인|드라마 리뷰|"shorts 김경애의 충격적인 고백! ""우린 이용당한 거예요."" 과연 누가 모두를 이용한 것일까요? 이번 고백이 숨겨진 진실을 밝혀낼 ..."|60.0|쇼츠/숏폼
EH0DcZbejTs|일본 바빌론 쿠사나기가 베일을 살려준 이유 #킬러들의쇼핑몰시즌2|짱드라|https://www.youtube.com/watch?v=EH0DcZbejTs|2026-07-31|2026-07-30|일본 바빌론 쿠사나기가 베일을 살려준 이유 #킬러들의쇼핑몰시즌2|드라마,넷플릭스,쇼츠,리뷰,결말,명장면,일본,바빌론,쿠사나기가,베일을,살려준,이유,킬러들의쇼핑몰시즌2,짱드라,킬러들의,쇼핑몰|드라마 리뷰|킬러들의 쇼핑몰 시즌2 (2026) 일본 바빌론 쿠사나기가 베일을 살려준 이유 혹독한 인수인계를 마치고 쇼핑몰의 새로운 대표가 된 ...|33.0|쇼츠/숏폼
0FAbYWGd1v8|상당히 늦은 영화 마이클 후기 #마이클영화 #마이클잭슨 #영화리뷰 #영화 #브이로그 #라틴미소|라틴미소Latin Miso|https://www.youtube.com/watch?v=0FAbYWGd1v8|2026-07-31|2026-07-31|상당히 늦은 영화 마이클 후기 #마이클영화 #마이클잭슨 #영화리뷰 #영화|영화,리뷰,상당히,늦은,마이클,후기,마이클영화,마이클잭슨,영화리뷰,브이로그,라틴미소,라틴미소Latin|영화 리뷰||53.0|쇼츠/숏폼
8_P7D_c7Mjk|차별하던 악덕 농장주의 최후 #shorts​ #영화​ #영화리뷰​ #영화추천​ #movie|무비미슐랭|https://www.youtube.com/watch?v=8_P7D_c7Mjk|2026-07-31|2026-07-31|차별하던 악덕 농장주의 최후 #shorts​ #영화​ #영화리뷰​ #영화|영화,리뷰,차별하던,악덕,농장주의,최후,shorts,영화리뷰,영화추천,movie,무비미슐랭,Django,Unchained|영화 리뷰|Django Unchained (장고: 분노의 추적자) 2012 1850년대, 흑인 노예였던 장고는 자유를 얻는다. 그 후 악덕 농장주 캘빈 캔디에게 ...|45.0|쇼츠/숏폼
